ds,yhat,yhat_lower,yhat_upper
2017-08-17,6259.672213397661,263.76121295282115,12970.151291157723
2017-08-18,6241.552668061132,-798.149362500036,13447.558642072156
2017-08-19,6175.917920581838,-508.99210228290156,13558.860151545256
2017-08-20,6097.195565897102,50.04900793861518,13031.583009033688
2017-08-21,6083.032988552346,-1134.5776528728259,12521.00239051581
2017-08-22,5986.848985227267,-990.0788683977418,12377.36117201428
2017-08-23,6007.56845493591,-686.7169860238052,12868.405533433714
2017-08-24,5820.822514089041,-1249.9305210472971,12759.786826860063
2017-08-25,5780.373191228158,-1172.5114070776153,12784.491352354662
2017-08-26,5693.0729423518,-887.9740199463645,12368.592043379793
2017-08-27,5593.73306407881,-1182.0374277732724,12632.605850399468
2017-08-28,5560.399569771413,-1436.2318494046347,11826.145651081104
2017-08-29,5446.890347287799,-1525.5178519301166,12099.393873248118
2017-08-30,5452.515553172531,-1441.0159684152338,11744.208515793158
2017-08-31,5253.264131723873,-1793.9972615025647,11916.622732400047
2017-09-01,5203.2161098500155,-1949.6979436094846,11897.519246960162
2017-09-02,5109.491352667341,-1342.5968897179232,11605.880630989723
2017-09-03,5007.109234113087,-1535.5087713658222,11976.831789461714
2017-09-04,4974.258085257714,-1937.6621595412175,11969.397232670495
2017-09-05,4864.828447518968,-1516.825985609476,11309.124975753832
2017-09-06,4878.132198648971,-2515.428520776316,11556.541522484897
2017-09-07,4690.090454467216,-2785.785568752969,11568.374990275248
2017-09-08,4654.6498136602595,-2430.8704452598818,11355.012563236798
2017-09-09,4578.737452619308,-2523.6360173466865,11257.211116489627
2017-09-10,4497.129259288635,-2160.898555664685,10825.369627886417
2017-09-11,4487.729526085079,-2538.829811427791,11241.023684836893
2017-09-12,4404.115821845767,-2406.9677871223703,11197.972812554626
2017-09-13,4445.270653633781,-2112.488576263963,11476.434298776612
2017-09-14,4286.782331176933,-1909.7376524329097,10798.548984834359
2017-09-15,4282.274095511074,-2224.38738562306,10949.051669097616
2017-09-16,4238.3715157813185,-2818.653310953097,11551.354960587561
2017-09-17,4189.581860954685,-2479.58921262365,10830.291547817737
2017-09-18,4213.583522510416,-2747.8664111108424,10739.781871093923
2017-09-19,4163.778718353148,-3071.158138662822,10790.364005992265
2017-09-20,4239.0307676503035,-2562.3357971294417,11234.348196393654
2017-09-21,4114.868108643526,-2596.0674739154556,10992.636406067797
2017-09-22,4144.913969897581,-2710.278852696297,11037.819782350782
2017-09-23,4135.851643494774,-2886.1153019833455,10707.018583729188
2017-09-24,4122.29910993857,-3121.1161249844504,11048.830580896612
2017-09-25,4182.091231706821,-2320.3846842380294,11009.14068590108
2017-09-26,4168.822980439506,-2844.2508842631614,11076.81815718817
2017-09-27,4281.575308781916,-2225.5427477029966,11030.391878165952
2017-09-28,4196.106236531416,-2343.458821895732,11075.470441409272
2017-09-29,4266.266522370539,-2547.5731222668114,10745.844866801495
2017-09-30,4298.950378392462,-2840.1363280635364,10537.004810400105
2017-10-01,4328.955516600676,-1995.4457571063674,11357.208550122807
2017-10-02,4434.251296078367,-2277.7350142433284,11486.788179418858
2017-10-03,4468.508980840949,-1655.1234154645315,11277.097150663847
2017-10-04,4630.8162386866115,-2144.0164026938924,11684.296285371387
2017-10-05,4596.858925803603,-1794.6307539621926,11638.517512675335
2017-10-06,4720.329942198639,-1948.7340239055839,11213.064031118356
2017-10-07,4807.875952245389,-1680.7513975659635,11264.567740962553
2017-10-08,4893.956507003035,-2028.193688661647,11808.88824072448
2017-10-09,5056.114484633298,-2172.0047741882386,11652.506819000439
2017-10-10,5147.511899825031,-1805.4663056355737,12003.482528463757
2017-10-11,5366.653143113491,-983.8699574656406,12640.535616909972
2017-10-12,5388.578515264989,-1001.8909494392954,12517.171665270904
2017-10-13,5566.2875557641,-1139.7928578550109,12540.23933468475
2017-10-14,5705.702574586418,-1079.8996299498963,12612.570433409408
2017-10-15,5840.546450421722,-976.2515985654203,12587.600888660994
